,2001,,
TEUs,Inbound,Outbound,Total
January,"91,751","82,123","173,874"
February,"83,475","83,014","166,489"
March,"95,149","95,933","191,082"
April,"86,302","91,967","178,269"
May,"96,431","101,828","198,258"
June,"100,651","100,795","201,445"
July,"96,950","104,299","201,250"
August,"97,667","102,611","200,279"
September,"97,096","106,061","203,157"
October,"100,494","96,607","197,102"
November,"94,651","97,449","192,100"
December,"108,785","100,350","209,135"
Total,"1,149,402","1,163,037","2,312,439"
