id,month,GDP_constant,year
1,January," 459,359 ",2001
2,February," 459,359 ",2001
3,March," 459,359 ",2001
4,April," 442,241 ",2001
5,May," 442,241 ",2001
6,June," 442,241 ",2001
7,July," 440,895 ",2001
8,August," 440,895 ",2001
9,September," 440,895 ",2001
10,October," 469,290 ",2001
11,November," 469,290 ",2001
12,December," 469,290 ",2001
13,January," 480,343 ",2002
14,February," 480,343 ",2002
15,March," 480,343 ",2002
16,April," 470,405 ",2002
17,May," 470,405 ",2002
18,June," 470,405 ",2002
19,July," 471,430 ",2002
20,August," 471,430 ",2002
21,September," 471,430 ",2002
22,October," 501,014 ",2002
23,November," 501,014 ",2002
24,December," 501,014 ",2002
25,January," 516,914 ",2003
26,February," 516,914 ",2003
27,March," 516,914 ",2003
28,April," 500,036 ",2003
29,May," 500,036 ",2003
30,June," 500,036 ",2003
31,July," 503,668 ",2003
32,August," 503,668 ",2003
33,September," 503,668 ",2003
34,October," 540,837 ",2003
35,November," 540,837 ",2003
36,December," 540,837 ",2003
37,January," 550,643 ",2004
38,February," 550,643 ",2004
39,March," 550,643 ",2004
40,April," 531,632 ",2004
41,May," 531,632 ",2004
42,June," 531,632 ",2004
43,July," 532,102 ",2004
44,August," 532,102 ",2004
45,September," 532,102 ",2004
46,October," 576,731 ",2004
47,November," 576,731 ",2004
48,December," 576,731 ",2004
49,January," 571,846 ",2005
50,February," 571,846 ",2005
51,March," 571,846 ",2005
52,April," 554,665 ",2005
53,May," 554,665 ",2005
54,June," 554,665 ",2005
55,July," 557,367 ",2005
56,August," 557,367 ",2005
57,September," 557,367 ",2005
58,October," 598,985 ",2005
59,November," 598,985 ",2005
60,December," 598,985 ",2005
61,January," 603,354 ",2006
62,February," 603,354 ",2006
63,March," 603,354 ",2006
64,April," 579,435 ",2006
65,May," 579,435 ",2006
66,June," 579,435 ",2006
67,July," 582,253 ",2006
68,August," 582,253 ",2006
69,September," 582,253 ",2006
70,October," 631,230 ",2006
71,November," 631,230 ",2006
72,December," 631,230 ",2006
73,January," 642,931 ",2007
74,February," 642,931 ",2007
75,March," 642,931 ",2007
76,April," 609,821 ",2007
77,May," 609,821 ",2007
78,June," 609,821 ",2007
79,July," 614,064 ",2007
80,August," 614,064 ",2007
81,September," 614,064 ",2007
82,October," 659,697 ",2007
83,November," 659,697 ",2007
84,December," 659,697 ",2007
85,January," 664,313 ",2008
86,February," 664,313 ",2008
87,March," 664,313 ",2008
88,April," 631,313 ",2008
89,May," 631,313 ",2008
90,June," 631,313 ",2008
91,July," 627,862 ",2008
92,August," 627,862 ",2008
93,September," 627,862 ",2008
94,October," 646,625 ",2008
95,November," 646,625 ",2008
96,December," 646,625 ",2008
97,January," 635,891 ",2009
98,February," 635,891 ",2009
99,March," 635,891 ",2009
100,April," 612,010 ",2009
101,May," 612,010 ",2009
102,June," 612,010 ",2009
103,July," 624,711 ",2009
104,August," 624,711 ",2009
105,September," 624,711 ",2009
106,October," 679,751 ",2009
107,November," 679,751 ",2009
108,December," 679,751 ",2009
109,January," 713,223 ",2010
110,February," 713,223 ",2010
111,March," 713,223 ",2010
112,April," 666,973 ",2010
113,May," 666,973 ",2010
114,June," 666,973 ",2010
115,July," 660,748 ",2010
116,August," 660,748 ",2010
117,September," 660,748 ",2010
118,October," 703,188 ",2010
119,November," 703,188 ",2010
120,December," 703,188 ",2010
121,January," 736,581 ",2011
122,February," 736,581 ",2011
123,March," 736,581 ",2011
124,April," 679,165 ",2011
125,May," 679,165 ",2011
126,June," 679,165 ",2011
127,July," 676,644 ",2011
128,August," 676,644 ",2011
129,September," 676,644 ",2011
