id,month,consumer_price_index,year
1,January, 68.80 ,2001
2,February, 69.10 ,2001
3,March, 69.10 ,2001
4,April, 69.60 ,2001
5,May, 69.80 ,2001
6,June, 69.60 ,2001
7,July, 69.60 ,2001
8,August, 69.60 ,2001
9,September, 69.80 ,2001
10,October, 69.50 ,2001
11,November, 69.30 ,2001
12,December, 69.10 ,2001
13,January, 69.30 ,2002
14,February, 69.40 ,2002
15,March, 69.50 ,2002
16,April, 69.90 ,2002
17,May, 70.00 ,2002
18,June, 69.80 ,2002
19,July, 69.80 ,2002
20,August, 69.80 ,2002
21,September, 70.10 ,2002
22,October, 70.40 ,2002
23,November, 70.20 ,2002
24,December, 70.20 ,2002
25,January, 70.80 ,2003
26,February, 70.70 ,2003
27,March, 70.70 ,2003
28,April, 71.00 ,2003
29,May, 71.30 ,2003
30,June, 71.00 ,2003
31,July, 71.00 ,2003
32,August, 71.40 ,2003
33,September, 71.30 ,2003
34,October, 71.40 ,2003
35,November, 71.50 ,2003
36,December, 71.50 ,2003
37,January, 71.80 ,2004
38,February, 72.30 ,2004
39,March, 72.50 ,2004
40,April, 72.80 ,2004
41,May, 73.10 ,2004
42,June, 73.30 ,2004
43,July, 73.40 ,2004
44,August, 73.60 ,2004
45,September, 73.80 ,2004
46,October, 73.80 ,2004
47,November, 73.60 ,2004
48,December, 73.60 ,2004
49,January, 73.60 ,2005
50,February, 74.00 ,2005
51,March, 74.80 ,2005
52,April, 75.30 ,2005
53,May, 75.80 ,2005
54,June, 76.00 ,2005
55,July, 77.20 ,2005
56,August, 77.70 ,2005
57,September, 78.20 ,2005
58,October, 78.50 ,2005
59,November, 77.90 ,2005
60,December, 77.80 ,2005
61,January, 78.00 ,2006
62,February, 78.10 ,2006
63,March, 79.00 ,2006
64,April, 79.90 ,2006
65,May, 80.50 ,2006
66,June, 80.50 ,2006
67,July, 80.70 ,2006
68,August, 80.70 ,2006
69,September, 80.40 ,2006
70,October, 80.80 ,2006
71,November, 80.70 ,2006
72,December, 80.70 ,2006
73,January, 80.40 ,2007
74,February, 80.10 ,2007
75,March, 80.60 ,2007
76,April, 81.30 ,2007
77,May, 82.00 ,2007
78,June, 82.00 ,2007
79,July, 82.00 ,2007
80,August, 81.50 ,2007
81,September, 82.00 ,2007
82,October, 82.70 ,2007
83,November, 83.10 ,2007
84,December, 83.10 ,2007
85,January, 83.90 ,2008
86,February, 84.40 ,2008
87,March, 84.90 ,2008
