year,month,inbound,outbound
2001,January,91751,82123
2001,February,83475,83014
2001,March,95149,95933
2001,April,86302,91967
2001,May,96431,101828
2001,June,100651,100795
2001,July,96950,104299
2001,August,97667,102611
2001,September,97096,106061
2001,October,100494,96607
2001,November,94651,97449
2001,December,108785,100350
2002,January,107493,96214
2002,February,97798,97257
2002,March,111474,112393
2002,April,101110,107746
2002,May,112976,119299
2002,June,117920,118089
2002,July,113585,122195
2002,August,114425,120217
2002,September,113755,124259
2002,October,117737,113183
2002,November,110891,114169
2002,December,127450,117568
2003,January,117818,106537
2003,February,120609,114065
2003,March,138766,139789
2003,April,126906,117626
2003,May,131118,126095
2003,June,124781,135528
2003,July,142117,132386
2003,August,137540,135338
2003,September,135792,142704
2003,October,154505,138974
2003,November,138278,137221
2003,December,139644,146913
2004,January,134669,124850
2004,February,138718,143429
2004,March,153901,154495
2004,April,138736,133248
2004,May,151455,156789
2004,June,149513,152047
2004,July,152344,154686
2004,August,164593,161001
2004,September,150331,157246
2004,October,155401,159150
2004,November,161944,160244
2004,December,156405,152366
2005,January,157368,145054
2005,February,137664,143860
2005,March,164758,162397
2005,April,160189,144385
2005,May,157200,171757
2005,June,156807,164948
2005,July,155109,165845
2005,August,148913,165176
2005,September,156130,161119
2005,October,184182,173448
2005,November,162491,158883
2005,December,166458,170284
2006,January,154418,147909
2006,February,163437,156671
2006,March,173680,175386
2006,April,156799,152475
2006,May,177236,190609
2006,June,173819,173323
2006,July,182933,193063
2006,August,185207,185438
2006,September,180469,184530
2006,October,189375,191639
2006,November,163713,182310
2006,December,157784,166740
2007,January,183929,174984
2007,February,176265,176846
2007,March,203907,199871
2007,April,197798,185508
2007,May,194502,214972
2007,June,186276,192919
2007,July,207651,212348
2007,August,211897,208330
2007,September,198324,207169
2007,October,226832,221621
2007,November,206146,206574
2007,December,225941,227900
2008,January,200062,204073
2008,February,199932,205066
2008,March,232010,240005
2008,April,224831,207334
2008,May,209798,227400
2008,June,211119,232039
2008,July,217199,227568
2008,August,216415,225168
2008,September,216384,228700
2008,October,225085,222791
2008,November,203544,194339
2008,December,183591,180236
2009,January,167973,144208
2009,February,148312,164066
2009,March,195068,194823
2009,April,170540,163527
2009,May,193920,210753
2009,June,209157,200423
2009,July,201271,206465
2009,August,207610,225729
2009,September,204120,204086
2009,October,193980,203361
2009,November,199985,214663
2009,December,196596,216914
2010,January,194533,200821
2010,February,182812,202547
2010,March,218859,235162
2010,April,197238,197231
2010,May,212994,252627
2010,June,199216,227572
2010,July,216732,228826
2010,August,217294,237221
2010,September,207007,213888
2010,October,230921,231516
2010,November,216695,225048
2010,December,222873,220780
2011,January,201530,208436
2011,February,203614,225089
2011,March,237443,241071
2011,April,232688,207822
2011,May,237165,251123
2011,June,254238,276749
2011,July,254279,270562
2011,August,246964,274827
2011,September,236733,249865
2011,October,265982,256218
2011,November,215597,223065
2011,December,222102,237903
2012,January,227911,212384
2012,February,218955,242381
2012,March,255002,258996
2012,April,214122,232412
2012,May,235620,270633
2012,June,228760,258719
2012,July,261296,281241
2012,August,238794,256445
2012,September,248477,267417
2012,October,262771,260600
2012,November,240625,243969
2012,December,243076,265836
2013,January,208927,223258
2013,February,215399,250342
2013,March,249813,272137
2013,April,252101,243309
2013,May,237741,256497
2013,June,246074,278396
2013,July,252607,263569
2013,August,232008,260510
2013,September,242387,272769
2013,October,272710,262565
2013,November,246075,257052
2013,December,253779,291456
2014,January,229511,220485
2014,February,213053,263387
2014,March,286889,297687
2014,April,256639,254555
2014,May,274579,290192
2014,June,272883,298103
2014,July,280713,294662
2014,August,280374,298428
2014,September,273493,289345
2014,October,289121,287404
2014,November,292521,284561
2014,December,268554,286028
2015,January,246108,247196
2015,February,264255,262499
2015,March,286119,313394
2015,April,295315,257373
2015,May,284204,321507
2015,June,285406,306816
2015,July,274226,291859
2015,August,266800,294257
2015,September,286538,287646
2015,October,287961,293390
2015,November,296198,290822
2015,December,283393,298056
2016,January,265882,262545
2016,February,244669,290256
2016,March,310660,317430
2016,April,287974,273296
2016,May,293625,331754
2016,June,296166,303052
2016,July,296326,302826
2016,August,297949,328355
2016,September,296956,311156
2016,October,324178,331503
2016,November,305359,322222
2016,December,305452,327840
2017,January,285724,288789
2017,February,280190,324553
2017,March,338058,335864
2017,April,307383,294696
2017,May,310552,352064
2017,June,318528,324954
2017,July,322990,353511
2017,August,324023,333114
2017,September,331056,334678
2017,October,349869,332744
2017,November,330742,335187
2017,December,323669,351564
2018,January,303491,317521
2018,February,306165,310282
2018,March,348513,362157
2018,April,330876,313951
2018,May,337639,354003
2018,June,316328,345288
2018,July,349535,358406
2018,August,332079,337908
2018,September,326786,341184
2018,October,349780,357972
2018,November,325325,337246
2018,December,355228,356934
2019,January,324715,302754
2019,February,302502,342027
2019,March,382035,368316
2019,April,333221,323635
2019,May,316149,332296
2019,June,332711,338948
2019,July,327938,339490
2019,August,319271,334486
2019,September,328707,332300
2019,October,343587,325773
2019,November,320016,322590
2019,December,329147,357943
2020,January,337067,287242
2020,February,298753,333469
2020,March,371179,346216
2020,April,336602,300971
2020,May,325289,294549
2020,June,278239,292409
2020,July,250539,297622
2020,August,281591,335236
2020,September,315558,316938
2020,October,322827,331836
2020,November,315919,317061
2020,December,333138,326247
2021,January,331275,320434
2021,February,341240,337280
2021,March,414725,382516
2021,April,355247,314585
2021,May,382286,371560
2021,June,344096,361692
2021,July,367213,371937
2021,August,344497,356412
2021,September,336237,355128
2021,October,355733,357439
2021,November,349185,326402
2021,December,376131,370104
