id,month,inflation_percentage_change,year
1,January,0.72%,2001
2,February,0.44%,2001
3,March,0.00%,2001
4,April,0.72%,2001
5,May,0.29%,2001
6,June,-0.29%,2001
7,July,0.00%,2001
8,August,0.00%,2001
9,September,0.29%,2001
10,October,-0.43%,2001
11,November,-0.29%,2001
12,December,-0.29%,2001
13,January,0.29%,2002
14,February,0.14%,2002
15,March,0.14%,2002
16,April,0.58%,2002
17,May,0.14%,2002
18,June,-0.29%,2002
19,July,0.00%,2002
20,August,0.00%,2002
21,September,0.43%,2002
22,October,0.43%,2002
23,November,-0.28%,2002
24,December,0.00%,2002
25,January,0.85%,2003
26,February,-0.14%,2003
27,March,0.00%,2003
28,April,0.42%,2003
29,May,0.42%,2003
30,June,-0.42%,2003
31,July,0.00%,2003
32,August,0.56%,2003
33,September,-0.14%,2003
34,October,0.14%,2003
35,November,0.14%,2003
36,December,0.00%,2003
37,January,0.42%,2004
38,February,0.70%,2004
39,March,0.28%,2004
40,April,0.41%,2004
41,May,0.41%,2004
42,June,0.27%,2004
43,July,0.14%,2004
44,August,0.27%,2004
45,September,0.27%,2004
46,October,0.00%,2004
47,November,-0.27%,2004
48,December,0.00%,2004
49,January,0.00%,2005
50,February,0.54%,2005
51,March,1.08%,2005
52,April,0.67%,2005
53,May,0.66%,2005
54,June,0.26%,2005
55,July,1.58%,2005
56,August,0.65%,2005
57,September,0.64%,2005
58,October,0.38%,2005
59,November,-0.76%,2005
60,December,-0.13%,2005
61,January,0.26%,2006
62,February,0.13%,2006
63,March,1.15%,2006
64,April,1.14%,2006
65,May,0.75%,2006
66,June,0.00%,2006
67,July,0.25%,2006
68,August,0.00%,2006
69,September,-0.37%,2006
70,October,0.50%,2006
71,November,-0.12%,2006
72,December,0.00%,2006
73,January,-0.37%,2007
74,February,-0.37%,2007
75,March,0.62%,2007
76,April,0.87%,2007
77,May,0.86%,2007
78,June,0.00%,2007
79,July,0.00%,2007
80,August,-0.61%,2007
81,September,0.61%,2007
82,October,0.85%,2007
83,November,0.48%,2007
84,December,0.00%,2007
85,January,0.96%,2008
86,February,0.60%,2008
87,March,0.59%,2008
88,April,1.65%,2008
89,May,2.32%,2008
90,June,0.91%,2008
91,July,0.45%,2008
92,August,-2.91%,2008
93,September,0.12%,2008
94,October,-1.26%,2008
95,November,-1.16%,2008
96,December,-1.65%,2008
97,January,0.00%,2009
98,February,0.96%,2009
99,March,0.47%,2009
100,April,0.94%,2009
101,May,-0.23%,2009
102,June,0.35%,2009
103,July,0.00%,2009
104,August,0.35%,2009
105,September,0.23%,2009
106,October,0.12%,2009
107,November,0.35%,2009
108,December,-0.12%,2009
109,January,0.60%,2010
110,February,0.55%,2010
111,March,0.23%,2010
112,April,0.50%,2010
113,May,0.19%,2010
114,June,0.26%,2010
115,July,0.15%,2010
116,August,0.25%,2010
117,September,-0.08%,2010
118,October,0.02%,2010
119,November,0.21%,2010
120,December,0.16%,2010
121,January,0.55%,2011
122,February,0.40%,2011
123,March,0.49%,2011
124,April,1.37%,2011
125,May,0.34%,2011
126,June,0.13%,2011
127,July,0.18%,2011
128,August,0.43%,2011
129,September,-0.35%,2011
130,October,0.20%,2011
131,November,0.22%,2011
132,December,-0.47%,2011
133,January,0.39%,2012
134,February,0.37%,2012
135,March,0.59%,2012
136,April,0.42%,2012
