id,month,interest_rate,year
1,January, 2.50 ,2001
2,February, 2.00 ,2001
3,March, 2.00 ,2001
4,April, 2.00 ,2001
5,May, 2.00 ,2001
6,June, 2.00 ,2001
7,July, 2.00 ,2001
8,August, 2.00 ,2001
9,September, 2.00 ,2001
10,October, 2.00 ,2001
11,November, 2.00 ,2001
12,December, 1.75 ,2001
13,January, 1.75 ,2002
14,February, 1.75 ,2002
15,March, 1.75 ,2002
16,April, 1.75 ,2002
17,May, 1.75 ,2002
18,June, 1.75 ,2002
19,July, 1.75 ,2002
20,August, 1.75 ,2002
21,September, 1.75 ,2002
22,October, 1.50 ,2002
23,November, 1.50 ,2002
24,December, 1.50 ,2002
25,January, 1.50 ,2003
26,February, 1.50 ,2003
27,March, 1.25 ,2003
28,April, 1.25 ,2003
29,May, 1.25 ,2003
30,June, 1.00 ,2003
31,July, 0.75 ,2003
32,August, 0.75 ,2003
33,September, 0.75 ,2003
34,October, 0.75 ,2003
35,November, 0.75 ,2003
36,December, 0.75 ,2003
37,January, 0.75 ,2004
38,February, 0.75 ,2004
39,March, 0.75 ,2004
40,April, 0.75 ,2004
41,May, 0.75 ,2004
42,June, 0.75 ,2004
43,July, 0.75 ,2004
44,August, 0.75 ,2004
45,September, 0.75 ,2004
46,October, 0.75 ,2004
47,November, 0.75 ,2004
48,December, 0.75 ,2004
49,January, 0.75 ,2005
50,February, 0.75 ,2005
51,March, 0.75 ,2005
52,April, 0.75 ,2005
53,May, 0.75 ,2005
54,June, 0.75 ,2005
55,July, 0.75 ,2005
56,August, 0.75 ,2005
57,September, 0.75 ,2005
58,October, 0.75 ,2005
59,November, 0.75 ,2005
60,December, 0.75 ,2005
61,January, 0.75 ,2006
62,February, 0.75 ,2006
63,March, 0.75 ,2006
64,April, 0.75 ,2006
65,May, 0.75 ,2006
66,June, 0.75 ,2006
67,July, 0.75 ,2006
68,August, 0.75 ,2006
69,September, 0.75 ,2006
70,October, 0.75 ,2006
71,November, 0.75 ,2006
72,December, 0.75 ,2006
73,January, 0.75 ,2007
74,February, 0.75 ,2007
75,March, 0.75 ,2007
76,April, 0.75 ,2007
77,May, 0.75 ,2007
78,June, 0.75 ,2007
79,July, 0.75 ,2007
80,August, 0.75 ,2007
81,September, 0.75 ,2007
82,October, 0.75 ,2007
83,November, 0.75 ,2007
84,December, 0.75 ,2007
85,January, 0.75 ,2008
86,February, 0.75 ,2008
87,March, 0.75 ,2008
88,April, 0.75 ,2008
89,May, 0.75 ,2008
90,June, 0.75 ,2008
91,July, 0.75 ,2008
92,August, 0.75 ,2008
93,September, 0.75 ,2008
94,October, 0.75 ,2008
95,November, 0.75 ,2008
96,December, 0.75 ,2008
97,January, 0.75 ,2009
98,February, 0.50 ,2009
99,March, 0.50 ,2009
100,April, 0.50 ,2009
101,May, 0.50 ,2009
102,June, 0.50 ,2009
103,July, 0.50 ,2009
104,August, 0.50 ,2009
105,September, 0.50 ,2009
106,October, 0.50 ,2009
107,November, 0.50 ,2009
108,December, 0.50 ,2009
109,January, 0.50 ,2010
110,February, 0.50 ,2010
111,March, 0.50 ,2010
112,April, 0.50 ,2010
113,May, 0.50 ,2010
114,June, 0.50 ,2010
115,July, 0.50 ,2010
116,August, 0.50 ,2010
117,September, 0.50 ,2010
118,October, 0.50 ,2010
119,November, 0.50 ,2010
120,December, 0.50 ,2010
121,January, 0.50 ,2011
122,February, 0.62 ,2011
123,March, 0.75 ,2011
124,April, 0.75 ,2011
125,May, 0.75 ,2011
126,June, 0.75 ,2011
127,July, 0.87 ,2011
128,August, 0.87 ,2011
129,September, 0.87 ,2011
130,October, 0.87 ,2011
131,November, 0.87 ,2011
132,December, 0.87 ,2011
133,January, 0.75 ,2012
134,February, 0.75 ,2012
135,March, 0.75 ,2012
136,April, 0.75 ,2012
137,May, 0.75 ,2012
138,June, 0.75 ,2012
139,July, 0.75 ,2012
140,August, 0.75 ,2012
141,September, 0.75 ,2012
142,October, 0.75 ,2012
143,November, 0.75 ,2012
144,December, 0.70 ,2012
145,January, 0.70 ,2013
146,February, 0.65 ,2013
147,March, 0.65 ,2013
148,April, 0.65 ,2013
149,May, 0.65 ,2013
150,June, 0.65 ,2013
151,July, 0.65 ,2013
152,August, 0.60 ,2013
153,September, 0.60 ,2013
154,October, 0.60 ,2013
155,November, 0.60 ,2013
156,December, 0.50 ,2013
157,January, 0.50 ,2014
158,February, 0.50 ,2014
159,March, 0.40 ,2014
160,April, 0.40 ,2014
161,May, 0.40 ,2014
162,June, 0.40 ,2014
163,July, 0.40 ,2014
164,August, 0.40 ,2014
165,September, 0.40 ,2014
166,October, 0.40 ,2014
167,November, 0.40 ,2014
168,December, 0.40 ,2014
169,January, 0.40 ,2015
170,February, 0.40 ,2015
171,March, 0.40 ,2015
172,April, 0.40 ,2015
173,May, 0.40 ,2015
174,June, 0.40 ,2015
175,July, 0.40 ,2015
176,August, 0.40 ,2015
177,September, 0.30 ,2015
178,October, 0.30 ,2015
179,November, 0.30 ,2015
180,December, 0.30 ,2015
181,January, 0.30 ,2016
182,February, 0.30 ,2016
183,March, 0.30 ,2016
184,April, 0.30 ,2016
185,May, 0.30 ,2016
186,June, 0.30 ,2016
187,July, 0.30 ,2016
188,August, 0.30 ,2016
189,September, 0.30 ,2016
190,October, 0.30 ,2016
191,November, 0.30 ,2016
192,December, 0.30 ,2016
193,January, 0.30 ,2017
194,February, 0.30 ,2017
195,March, 0.30 ,2017
196,April, 0.30 ,2017
197,May, 0.30 ,2017
198,June, 0.30 ,2017
199,July, 0.30 ,2017
200,August, 0.30 ,2017
201,September, 0.30 ,2017
202,October, 0.30 ,2017
203,November, 0.30 ,2017
204,December, 0.30 ,2017
205,January, 0.30 ,2018
206,February, 0.30 ,2018
207,March, 0.30 ,2018
208,April, 0.30 ,2018
209,May, 0.30 ,2018
210,June, 0.30 ,2018
211,July, 0.30 ,2018
212,August, 0.30 ,2018
213,September, 0.30 ,2018
214,October, 0.30 ,2018
215,November, 0.30 ,2018
216,December, 0.30 ,2018
217,January, 0.30 ,2019
218,February, 0.30 ,2019
219,March, 0.30 ,2019
220,April, 0.30 ,2019
221,May, 0.30 ,2019
222,June, 0.30 ,2019
223,July, 0.30 ,2019
224,August, 0.30 ,2019
225,September, 0.30 ,2019
226,October, 0.30 ,2019
227,November, 0.30 ,2019
228,December, 0.30 ,2019
229,January, 0.30 ,2020
230,February, 0.30 ,2020
231,March, 0.30 ,2020
232,April, 0.30 ,2020
233,May, 0.25 ,2020
234,June, 0.25 ,2020
235,July, 0.25 ,2020
236,August, 0.25 ,2020
237,September, 0.25 ,2020
238,October, 0.25 ,2020
239,November, 0.25 ,2020
240,December, 0.25 ,2020
