id,month,population,year
1,January," 62,308,887 ",2001
2,February," 62,308,887 ",2001
3,March," 62,308,887 ",2001
4,April," 62,308,887 ",2001
5,May," 62,308,887 ",2001
6,June," 62,308,887 ",2001
7,July," 62,308,887 ",2001
8,August," 62,308,887 ",2001
9,September," 62,308,887 ",2001
10,October," 62,308,887 ",2001
11,November," 62,308,887 ",2001
12,December," 62,308,887 ",2001
13,January," 62,362,235 ",2002
14,February," 62,397,767 ",2002
15,March," 62,427,766 ",2002
16,April," 62,429,255 ",2002
17,May," 61,151,635 ",2002
18,June," 62,543,436 ",2002
19,July," 62,601,264 ",2002
20,August," 62,617,878 ",2002
21,September," 62,664,052 ",2002
22,October," 62,685,274 ",2002
23,November," 62,748,722 ",2002
24,December," 62,799,873 ",2002
25,January," 62,797,041 ",2003
26,February," 62,820,083 ",2003
27,March," 62,847,512 ",2003
28,April," 62,868,123 ",2003
29,May," 62,922,059 ",2003
30,June," 62,952,778 ",2003
31,July," 62,985,553 ",2003
32,August," 63,038,081 ",2003
33,September," 63,080,895 ",2003
34,October," 63,097,435 ",2003
35,November," 63,154,110 ",2003
36,December," 63,192,694 ",2003
37,January," 63,704,018 ",2004
38,February," 63,726,427 ",2004
39,March," 63,775,552 ",2004
40,April," 63,818,862 ",2004
41,May," 63,607,485 ",2004
42,June," 63,798,774 ",2004
43,July," 63,913,488 ",2004
44,August," 63,945,463 ",2004
45,September," 63,998,370 ",2004
46,October," 61,948,863 ",2004
47,November," 61,970,009 ",2004
48,December," 61,975,636 ",2004
49,January," 61,992,062 ",2005
50,February," 62,005,305 ",2005
51,March," 62,029,314 ",2005
52,April," 62,059,903 ",2005
53,May," 62,121,368 ",2005
54,June," 62,164,389 ",2005
55,July," 62,203,566 ",2005
56,August," 62,271,043 ",2005
57,September," 62,299,195 ",2005
58,October," 62,353,900 ",2005
59,November," 62,383,751 ",2005
60,December," 62,418,042 ",2005
61,January," 62,012,730 ",2006
62,February," 62,467,643 ",2006
63,March," 62,487,838 ",2006
64,April," 62,403,519 ",2006
65,May," 62,559,588 ",2006
66,June," 62,599,957 ",2006
