id,month,unemployment_rate,year
1,January, 5.73 ,2001
2,February, 4.25 ,2001
3,March, 4.04 ,2001
4,April, 4.06 ,2001
5,May, 4.24 ,2001
6,June, 2.38 ,2001
7,July, 2.43 ,2001
8,August, 2.11 ,2001
9,September, 3.36 ,2001
10,October, 3.19 ,2001
11,November, 2.40 ,2001
12,December, 1.75 ,2001
13,January, 4.17 ,2002
14,February, 2.79 ,2002
15,March, 2.72 ,2002
16,April, 3.68 ,2002
17,May, 2.96 ,2002
18,June, 1.88 ,2002
19,July, 1.70 ,2002
20,August, 1.75 ,2002
21,September, 1.96 ,2002
22,October, 2.60 ,2002
23,November, 1.49 ,2002
24,December, 1.39 ,2002
25,January, 3.38 ,2003
26,February, 2.30 ,2003
27,March, 2.92 ,2003
28,April, 2.67 ,2003
29,May, 2.73 ,2003
30,June, 2.07 ,2003
31,July, 1.39 ,2003
32,August, 1.54 ,2003
33,September, 1.77 ,2003
34,October, 2.48 ,2003
35,November, 1.53 ,2003
36,December, 1.48 ,2003
37,January, 3.69 ,2004
38,February, 2.37 ,2004
39,March, 2.42 ,2004
40,April, 2.78 ,2004
41,May, 2.60 ,2004
42,June, 2.05 ,2004
43,July, 1.35 ,2004
44,August, 1.49 ,2004
45,September, 1.79 ,2004
46,October, 1.58 ,2004
47,November, 1.47 ,2004
48,December, 1.46 ,2004
49,January, 3.28 ,2005
50,February, 2.29 ,2005
51,March, 2.08 ,2005
52,April, 2.21 ,2005
53,May, 2.03 ,2005
54,June, 1.93 ,2005
55,July, 1.43 ,2005
56,August, 1.36 ,2005
57,September, 1.30 ,2005
58,October, 1.77 ,2005
59,November, 1.22 ,2005
60,December, 1.37 ,2005
61,January, 2.16 ,2006
62,February, 1.55 ,2006
63,March, 1.80 ,2006
64,April, 2.10 ,2006
65,May, 1.39 ,2006
66,June, 1.54 ,2006
67,July, 1.13 ,2006
68,August, 1.36 ,2006
69,September, 1.16 ,2006
70,October, 1.67 ,2006
71,November, 1.23 ,2006
72,December, 0.96 ,2006
73,January, 1.62 ,2007
74,February, 1.49 ,2007
75,March, 1.61 ,2007
76,April, 1.73 ,2007
77,May, 1.59 ,2007
78,June, 1.39 ,2007
79,July, 1.21 ,2007
80,August, 1.16 ,2007
81,September, 1.15 ,2007
82,October, 1.41 ,2007
83,November, 1.10 ,2007
84,December, 0.85 ,2007
85,January, 1.72 ,2008
86,February, 1.53 ,2008
87,March, 1.52 ,2008
88,April, 1.46 ,2008
89,May, 1.47 ,2008
90,June, 1.16 ,2008
91,July, 1.27 ,2008
92,August, 1.16 ,2008
93,September, 1.14 ,2008
94,October, 1.19 ,2008
95,November, 1.38 ,2008
96,December, 1.40 ,2008
97,January, 2.36 ,2009
98,February, 1.90 ,2009
99,March, 1.89 ,2009
