id,month,exchange_rate,year
1,January, 43.12 ,2001
2,February, 42.64 ,2001
3,March, 43.90 ,2001
4,April, 45.46 ,2001
5,May, 45.48 ,2001
6,June, 45.24 ,2001
7,July, 45.62 ,2001
8,August, 44.90 ,2001
9,September, 44.33 ,2001
10,October, 44.72 ,2001
11,November, 44.41 ,2001
12,December, 43.91 ,2001
13,January, 44.02 ,2002
14,February, 43.82 ,2002
15,March, 43.39 ,2002
16,April, 43.42 ,2002
17,May, 42.79 ,2002
18,June, 42.15 ,2002
19,July, 41.20 ,2002
20,August, 42.18 ,2002
21,September, 42.82 ,2002
22,October, 43.66 ,2002
23,November, 43.32 ,2002
24,December, 43.28 ,2002
25,January, 42.77 ,2003
26,February, 42.88 ,2003
27,March, 42.75 ,2003
28,April, 42.88 ,2003
29,May, 42.15 ,2003
30,June, 41.65 ,2003
31,July, 41.78 ,2003
32,August, 41.67 ,2003
33,September, 40.50 ,2003
34,October, 39.73 ,2003
35,November, 39.90 ,2003
36,December, 39.71 ,2003
37,January, 39.09 ,2004
38,February, 39.10 ,2004
39,March, 39.45 ,2004
40,April, 39.44 ,2004
41,May, 40.57 ,2004
42,June, 40.80 ,2004
43,July, 40.94 ,2004
44,August, 41.50 ,2004
45,September, 41.47 ,2004
46,October, 41.31 ,2004
47,November, 40.34 ,2004
48,December, 39.22 ,2004
49,January, 38.75 ,2005
50,February, 38.48 ,2005
51,March, 38.61 ,2005
52,April, 39.53 ,2005
53,May, 39.84 ,2005
54,June, 40.92 ,2005
55,July, 41.76 ,2005
56,August, 41.19 ,2005
57,September, 41.05 ,2005
58,October, 40.91 ,2005
59,November, 41.12 ,2005
60,December, 41.07 ,2005
61,January, 39.62 ,2006
62,February, 39.41 ,2006
63,March, 38.98 ,2006
64,April, 37.99 ,2006
65,May, 38.01 ,2006
66,June, 38.35 ,2006
67,July, 38.00 ,2006
68,August, 37.64 ,2006
69,September, 37.43 ,2006
70,October, 37.34 ,2006
71,November, 36.54 ,2006
72,December, 35.83 ,2006
73,January, 35.97 ,2007
74,February, 35.74 ,2007
75,March, 35.06 ,2007
76,April, 34.87 ,2007
77,May, 34.62 ,2007
78,June, 34.58 ,2007
79,July, 33.71 ,2007
80,August, 34.20 ,2007
81,September, 34.26 ,2007
82,October, 34.17 ,2007
83,November, 33.88 ,2007
84,December, 33.70 ,2007
85,January, 33.18 ,2008
86,February, 32.60 ,2008
87,March, 31.46 ,2008
88,April, 31.59 ,2008
89,May, 32.11 ,2008
90,June, 33.20 ,2008
91,July, 33.50 ,2008
92,August, 33.86 ,2008
93,September, 34.29 ,2008
94,October, 34.43 ,2008
95,November, 35.09 ,2008
96,December, 35.04 ,2008
97,January, 34.92 ,2009
98,February, 35.33 ,2009
99,March, 35.78 ,2009
100,April, 35.46 ,2009
101,May, 34.57 ,2009
102,June, 34.14 ,2009
103,July, 34.05 ,2009
104,August, 34.02 ,2009
105,September, 33.83 ,2009
106,October, 33.41 ,2009
107,November, 33.28 ,2009
108,December, 33.23 ,2009
109,January, 33.04 ,2010
110,February, 33.15 ,2010
111,March, 32.51 ,2010
112,April, 32.29 ,2010
113,May, 32.39 ,2010
114,June, 32.47 ,2010
115,July, 32.33 ,2010
116,August, 31.74 ,2010
117,September, 30.83 ,2010
118,October, 29.97 ,2010
119,November, 29.89 ,2010
120,December, 30.12 ,2010
121,January, 30.58 ,2011
122,February, 30.72 ,2011
123,March, 30.37 ,2011
124,April, 30.05 ,2011
125,May, 30.25 ,2011
126,June, 30.52 ,2011
127,July, 30.07 ,2011
128,August, 29.88 ,2011
129,September, 30.42 ,2011
130,October, 30.89 ,2011
131,November, 30.96 ,2011
132,December, 31.22 ,2011
133,January, 31.58 ,2012
134,February, 30.73 ,2012
135,March, 30.70 ,2012
136,April, 30.89 ,2012
137,May, 31.34 ,2012
138,June, 31.66 ,2012
139,July, 31.65 ,2012
140,August, 31.44 ,2012
141,September, 31.00 ,2012
142,October, 30.69 ,2012
143,November, 30.71 ,2012
144,December, 30.64 ,2012
145,January, 30.07 ,2013
146,February, 29.83 ,2013
147,March, 29.52 ,2013
148,April, 29.08 ,2013
149,May, 29.78 ,2013
150,June, 30.84 ,2013
151,July, 31.13 ,2013
152,August, 31.61 ,2013
153,September, 31.71 ,2013
154,October, 31.22 ,2013
155,November, 31.64 ,2013
156,December, 32.35 ,2013
157,January, 32.94 ,2014
158,February, 32.65 ,2014
159,March, 32.39 ,2014
160,April, 32.32 ,2014
161,May, 32.53 ,2014
162,June, 32.51 ,2014
163,July, 32.10 ,2014
164,August, 32.01 ,2014
165,September, 32.19 ,2014
166,October, 32.46 ,2014
167,November, 32.79 ,2014
168,December, 32.91 ,2014
169,January, 32.74 ,2015
170,February, 32.57 ,2015
171,March, 32.63 ,2015
172,April, 32.52 ,2015
173,May, 33.56 ,2015
174,June, 33.73 ,2015
175,July, 34.31 ,2015
176,August, 35.43 ,2015
177,September, 36.02 ,2015
178,October, 35.72 ,2015
179,November, 35.78 ,2015
180,December, 36.01 ,2015
181,January, 36.16 ,2016
182,February, 35.60 ,2016
183,March, 35.24 ,2016
184,April, 35.09 ,2016
185,May, 35.45 ,2016
186,June, 35.30 ,2016
187,July, 35.07 ,2016
188,August, 34.72 ,2016
189,September, 34.74 ,2016
190,October, 35.06 ,2016
191,November, 35.33 ,2016
192,December, 35.81 ,2016
193,January, 35.43 ,2017
194,February, 35.02 ,2017
195,March, 34.90 ,2017
196,April, 34.45 ,2017
197,May, 34.45 ,2017
198,June, 34.00 ,2017
199,July, 33.75 ,2017
200,August, 33.26 ,2017
201,September, 33.15 ,2017
202,October, 33.25 ,2017
203,November, 32.93 ,2017
204,December, 32.67 ,2017
205,January, 31.88 ,2018
206,February, 31.48 ,2018
207,March, 31.26 ,2018
208,April, 31.31 ,2018
209,May, 31.97 ,2018
210,June, 32.47 ,2018
211,July, 33.27 ,2018
212,August, 33.02 ,2018
213,September, 32.62 ,2018
214,October, 32.77 ,2018
215,November, 32.97 ,2018
216,December, 32.70 ,2018
217,January, 31.81 ,2019
218,February, 31.31 ,2019
219,March, 31.73 ,2019
220,April, 31.86 ,2019
221,May, 31.80 ,2019
222,June, 31.13 ,2019
223,July, 30.79 ,2019
224,August, 30.77 ,2019
225,September, 30.57 ,2019
226,October, 30.37 ,2019
227,November, 30.24 ,2019
228,December, 30.22 ,2019
229,January, 30.44 ,2020
230,February, 31.34 ,2020
231,March, 32.11 ,2020
232,April, 32.63 ,2020
233,May, 32.04 ,2020
234,June, 31.16 ,2020
235,July, 31.42 ,2020
